author_name,news_channel,url
Andrew-Walker,The Guardian,http://theguardian.com/
Andrew-Walker,The IMDb Show,http://imdb.com/show
Andrew-Walker,Newsweek,http://newsweek.com
Andrew-Walker,The Hollywood Reporter,http://hollywoodreporter.com/
Andrew-Walker,Yahoo,https://yahoo.com/
Andrew-Walker,People Magazine,http://people.com
Andrew-Walker,The (Toronto) Star,http://thestar.com/
Andrew-Walker,New York Magazine,http://nymag.com
Anthony-Reuben,Daily Mail,https://www.dailymail.co.uk/home/index.html
Anthony-Reuben,Yahoo Finance,https://finance.yahoo.com/
Anthony-Reuben,Yahoo Sports,https://sports.yahoo.com/
Anthony-Reuben,HuffPost UK,http://huffingtonpost.co.uk
Carrie-Gracie,The Guardian,http://theguardian.com/
Carrie-Gracie,The Telegraph,https://www.telegraph.co.uk/
Carrie-Gracie,Yahoo Singapore,https://sg.news.yahoo.com/
Carrie-Gracie,Financial Times,http://ft.com/
Carrie-Gracie,The Times of India,http://timesofindia.indiatimes.com
Carrie-Gracie,Business Standard,http://business-standard.com/
Carrie-Gracie,TODAY (Singapore),http://todayonline.com
Carrie-Gracie,Business Post,http://businesspost.ie/
Carrie-Gracie,Daily Business,http://dailybusinessgroup.co.uk
Laurence-Peter,UOL Notícias,http://noticias.uol.com.br
Laurence-Peter,BBC Mundo,http://www.bbc.com/mundo
Laurence-Peter,La Nación (Argentina),http://lanacion.com.ar
Laurence-Peter,Estado De Minas,http://em.com.br
Laurence-Peter,Flipboard,http://flipboard.com
Laurence-Peter,Royal Society of Chemistry,http://pubs.rsc.org
Laurence-Peter,El Imparcial,http://elimparcial.com
Laurence-Peter,La Prensa Gráfica,http://laprensagrafica.com
Laurence-Peter,Business.com,http://business.com
Laurence-Peter,Leadership Newspaper,http://leadership.ng
James-Gallagher,BBC Radio 4,https://bbc.co.uk/radio4
James-Gallagher,Folha de S.Paulo,https://www.folha.uol.com.br/
James-Gallagher,UOL,http://uol.com.br
James-Gallagher,UOL Notícias,http://noticias.uol.com.br
James-Gallagher,BBC Mundo,http://www.bbc.com/mundo
James-Gallagher,Época Negócios,http://epocanegocios.globo.com
James-Gallagher,G1,http://g1.globo.com
James-Gallagher,Revista Época,https://oglobo.globo.com/epoca/
James-Gallagher,HuffPost,https://huffpost.com/
James-Gallagher,iG,http://ig.com.br
James-Gallagher,Nature,http://nature.com
Richard-Westcott,Devon Live,http://devonlive.com
Jonathan-Webb,ABC News (Australia),http://abc.net.au/news/
Jonathan-Webb,Nature,http://nature.com
Jonathan-Webb,The Independent,http://independent.co.uk/
Jonathan-Webb,USA Today,http://usatoday.com/
Jonathan-Webb,ABC Science,https://www.abc.net.au/news/science/
Jonathan-Webb,Color Research & Application,https://onlinelibrary.wiley.com/journal/15206378
Jonathan-Webb,NBC News,http://nbcnews.com
Jonathan-Webb,The Times,http://thetimes.co.uk/
Jonathan-Webb,Wiley Online Library,http://onlinelibrary.wiley.com
Jonathan-Webb,The Conversation,http://theconversation.com
Mark-Ward,BBC Mundo,http://www.bbc.com/mundo
Mark-Ward,Business Insider,https://www.businessinsider.com/
Mark-Ward,La Nación (Argentina),http://lanacion.com.ar
Mark-Ward,The Conversation,http://theconversation.com
Mark-Ward,The Hill,http://thehill.com/
Mark-Ward,United Press International (UPI),http://upi.com
Mark-Ward,Computer Weekly,http://computerweekly.com
Mark-Ward,Irish Mirror,http://irishmirror.ie
Mark-Ward,San Francisco Chronicle,http://sfchronicle.com
Will-Grant,UOL,http://uol.com.br
Will-Grant,UOL Notícias,http://noticias.uol.com.br
Will-Grant,BBC Mundo,http://www.bbc.com/mundo
Will-Grant,BBC Sport,http://www.bbc.com/sport
Will-Grant,Época Negócios,http://epocanegocios.globo.com
Will-Grant,G1,http://g1.globo.com
Will-Grant,Revista Época,https://oglobo.globo.com/epoca/
Will-Grant,The Guardian,http://theguardian.com/
Will-Grant,Terra,http://terra.com.br
Will-Grant,Yahoo News,https://news.yahoo.com/
Jon-Welch,HuffPost UK,http://huffingtonpost.co.uk
Jon-Welch,Eastern Daily Press,http://edp24.co.uk
Jon-Welch,The Times of Northwest Indiana,http://nwitimes.com
Martin-Rosenbaum,UOL,http://uol.com.br
Martin-Rosenbaum,Byline Times,http://bylinetimes.com
Zivile-Kropaite,Lithuanian National Television,http://lrt.lt
Zivile-Kropaite,On Line Opinion,http://onlineopinion.com.au
Anthony-Zurcher,UOL,http://uol.com.br
Anthony-Zurcher,UOL Notícias,http://noticias.uol.com.br
Anthony-Zurcher,BBC Mundo,http://www.bbc.com/mundo
Anthony-Zurcher,BBC Sport,http://www.bbc.com/sport
Anthony-Zurcher,Revista Época,https://oglobo.globo.com/epoca/
Anthony-Zurcher,Terra,http://terra.com.br
Anthony-Zurcher,Yahoo Canada,https://ca.news.yahoo.com/
Anthony-Zurcher,Yahoo News,https://news.yahoo.com/
Anthony-Zurcher,Yahoo Singapore,https://sg.news.yahoo.com/
Anthony-Zurcher,Yahoo,https://yahoo.com/
Nick-Serpell,InYourArea.co.uk,http://inyourarea.co.uk
Lizo-Mzimba,Yahoo News,https://news.yahoo.com/
Lizo-Mzimba,Yahoo,https://yahoo.com/
Lizo-Mzimba,Yahoo Sports Canada,https://ca.sports.yahoo.com
Lizo-Mzimba,El Imparcial,http://elimparcial.com
Fiona-Graham,The Guardian,http://theguardian.com/
Fiona-Graham,Christian Today,http://christiantoday.com
Fiona-Graham,Lexology,http://lexology.com
Fiona-Graham,Luxury Daily,http://luxurydaily.com
Fiona-Graham,Bookreporter,http://bookreporter.com
Nick-Triggle,BBC Mundo,http://www.bbc.com/mundo
Nick-Triggle,G1,http://g1.globo.com
Nick-Triggle,Revista Época,https://oglobo.globo.com/epoca/
Nick-Triggle,iG,http://ig.com.br
Nick-Triggle,Terra,http://terra.com.br
Nick-Triggle,Yahoo,https://yahoo.com/
Nick-Triggle,Birmingham Live,http://birminghammail.co.uk
Nick-Triggle,El Imparcial,http://elimparcial.com
Nick-Triggle,Semana,http://semana.com
Nick-Triggle,Radio New Zealand (RNZ),https://rnz.co.nz/
Charles-Haviland,BBC Mundo,http://www.bbc.com/mundo
Charles-Haviland,Nepali Times,http://nepalitimes.com
Charles-Haviland,Groundviews,http://groundviews.org
Nic-Rigby,Eastern Daily Press,http://edp24.co.uk
Charles-Haviland,BBC,https://bbc.co.uk/
Nick-Triggle,BBC,https://bbc.co.uk/
Richard-Hamilton,BBC,https://bbc.co.uk/
Richard-Hamilton,BBC World Service,https://bbc.co.uk/worldserviceradio
Richard-Hamilton,The Epoch Times,https://www.theepochtimes.com/
Richard-Hamilton,Philadelphia Inquirer,https://inquirer.com/
Richard-Hamilton,aeon,http://aeon.co
Richard-Hamilton,Storyful,http://storyful.com/
Richard-Hamilton,Neos Kosmos,http://neoskosmos.com
Richard-Hamilton,Monterey County Weekly,http://montereycountyweekly.com
Richard-Hamilton,Health Digest,http://healthdigest.com
Richard-Hamilton,Doximity's Op-Med,https://opmed.doximity.com/
Richard-Hamilton,Inner Power,https://innerself.com
Nic-Rigby,BBC,https://bbc.co.uk/
Daud-Qarizadah,BBC World Service,https://bbc.co.uk/worldserviceradio
Daud-Qarizadah,BBC,https://bbc.co.uk/
Daud-Qarizadah,El Imparcial,http://elimparcial.com
Daud-Qarizadah,La Prensa Gráfica,http://laprensagrafica.com
Neil-Smith,BBC Radio Cumbria,https://bbc.co.uk/sounds/play/live:bbc_radio_cumbria
Neil-Smith,BBC,https://bbc.co.uk/
Neil-Smith,Revista Época,https://oglobo.globo.com/epoca/
Neil-Smith,The Guardian,http://theguardian.com/
Neil-Smith,Yahoo News,https://news.yahoo.com/
Neil-Smith,Yahoo News Malaysia,https://malaysia.news.yahoo.com/
Neil-Smith,Metro (UK),http://metro.co.uk
Neil-Smith,Wiley Online Library,http://onlinelibrary.wiley.com
Neil-Smith,Yahoo,https://yahoo.com/
Neil-Smith,Memory Studies,https://journals.sagepub.com/home/mss
Neil-Smith,The Conversation,http://theconversation.com
Jonathan-Marcus,Folha de S.Paulo,https://www.folha.uol.com.br/
Jonathan-Marcus,UOL,http://uol.com.br
Jonathan-Marcus,UOL Notícias,http://noticias.uol.com.br
Jonathan-Marcus,BBC,https://bbc.co.uk/
Jonathan-Marcus,BBC Mundo,http://www.bbc.com/mundo
Jonathan-Marcus,Época Negócios,http://epocanegocios.globo.com
Jonathan-Marcus,Revista Época,https://oglobo.globo.com/epoca/
Jonathan-Marcus,MSN,http://msn.com/
Jonathan-Marcus,Terra,http://terra.com.br
Jonathan-Marcus,La Nación (Argentina),http://lanacion.com.ar
Victoria-Fritz,BBC,https://bbc.co.uk/
Victoria-Fritz,Canadian Journal of Higher Education,http://journals.sfu.ca/cjhe/index.php/cjhe
Victoria-Fritz,MalaysianDigest.com,http://malaysiandigest.com
Chris-Cook,The Atlantic,http://theatlantic.com
Chris-Cook,Yahoo Finance,https://finance.yahoo.com/
Chris-Cook,Investopedia,http://investopedia.com
Chris-Cook,The Conversation,http://theconversation.com
Chris-Cook,Expansión,http://expansion.com
Chris-Cook,Nasdaq,http://nasdaq.com
Chris-Cook,Seeking Alpha,http://seekingalpha.com
Chris-Cook,City A.M.,http://cityam.com/
Chris-Cook,Christianity Today,http://christianitytoday.com
Chris-Cook,Mehr News Agency,http://en.mehrnews.com
Tom-de-Castella,UOL,http://uol.com.br
Tom-de-Castella,BBC,https://bbc.co.uk/
Tom-de-Castella,Financial Times,http://ft.com/
Tom-de-Castella,The Times,http://thetimes.co.uk/
Tom-de-Castella,The Architects' Journal,http://architectsjournal.co.uk
Tom-de-Castella,Nursing Times,http://nursingtimes.net
Tom-de-Castella,Health Service Journal,http://hsj.co.uk
Tom-de-Castella,Pulse Magazine,http://pulsetoday.co.uk
Tom-de-Castella,Children & Young People Now,http://cypnow.co.uk
Tom-de-Castella,Local Government Chronicle,http://lgcplus.com
Rebecca-Jones,African-American News & Issues,http://aframnews.com
Rebecca-Jones,Medium,http://medium.com/
Rebecca-Jones,Bloomberg News,http://bloomberg.com
Rebecca-Jones,Color Research & Application,https://onlinelibrary.wiley.com/journal/15206378
Rebecca-Jones,Daily Express,http://express.co.uk/
Rebecca-Jones,Yahoo,https://yahoo.com/
Rebecca-Jones,Eurogamer,http://eurogamer.net
Rebecca-Jones,Frontline Gastroenterology,http://fg.bmj.com/
Rebecca-Jones,PC Gamer,http://pcgamer.com
Rebecca-Jones,PC Gamer (UK),https://pcgamer.com/uk/
Rebecca-Jones,Glamorgan Gazette,http://walesonline.co.uk/all-about/bridgend
Callum-May,BBC,https://bbc.co.uk/
Hannah-Richardson,BBC,https://bbc.co.uk/
Hannah-Richardson,BBC Mundo,http://www.bbc.com/mundo
Hannah-Richardson,The Guardian,http://theguardian.com/
Hannah-Richardson,Daily Mirror,http://mirror.co.uk/
Hannah-Richardson,Daily Express,http://express.co.uk/
Hannah-Richardson,Manchester Evening News,http://manchestereveningnews.co.uk
Hannah-Richardson,Wales Online,https://www.walesonline.co.uk/
Hannah-Richardson,Birmingham Live,http://birminghammail.co.uk
Hannah-Richardson,Her Campus,http://hercampus.com
Hannah-Richardson,Nottingham Post,http://nottinghampost.com/
Hannah-Richardson,Derby Telegraph,http://derbytelegraph.co.uk
Stuart-Nicolson,BBC,https://bbc.co.uk/
Stuart-Nicolson,Daily Mail,https://www.dailymail.co.uk/home/index.html
Zoe-Conway,BBC,https://bbc.co.uk/
Justin-Parkinson,BBC,https://bbc.co.uk/
Justin-Parkinson,BBC Mundo,http://www.bbc.com/mundo
Justin-Parkinson,Terra,http://terra.com.br
Justin-Parkinson,Yahoo,https://yahoo.com/
Justin-Parkinson,Estado De Minas,http://em.com.br
Justin-Parkinson,User Walls,http://userwalls.com
Justin-Parkinson,Global Financial Market Review,http://gfmreview.com
Sarah-Rainsford,BBC,https://bbc.co.uk/
Sarah-Rainsford,UOL Notícias,http://noticias.uol.com.br
Sarah-Rainsford,BBC Mundo,http://www.bbc.com/mundo
Sarah-Rainsford,G1,http://g1.globo.com
Sarah-Rainsford,MSN,http://msn.com/
Sarah-Rainsford,Terra,http://terra.com.br
Sarah-Rainsford,Yahoo News UK,https://uk.news.yahoo.com/
Sarah-Rainsford,La Nación (Argentina),http://lanacion.com.ar
Sarah-Rainsford,Yahoo,https://yahoo.com/
Sarah-Rainsford,Evening Standard,http://standard.co.uk/
Sarah-Rainsford,El Imparcial,http://elimparcial.com
Claire-Bates,BBC,https://bbc.co.uk/
Claire-Bates,BBC Mundo,http://www.bbc.com/mundo
Claire-Bates,Daily Mail,https://www.dailymail.co.uk/home/index.html
Claire-Bates,Nature,http://nature.com
Claire-Bates,Terra,http://terra.com.br
Claire-Bates,Wiley Online Library,http://onlinelibrary.wiley.com
Claire-Bates,Estado De Minas,http://em.com.br
Claire-Bates,El Imparcial,http://elimparcial.com
